,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
75,Rongpur,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,"1, 2, 6",3,5.0,N,N,N,"1, 4","Smartphone, Featurephone, Desktop, Laptop","2, 3","1, 3, 5","3, 4, 7","1, 2, 3, 5, 6",NC,Console,"1, 3",N,"1, 2"
76,Chittagong,20-29,Man,Masters,Unemployed,4-6,Laptop,<2 yr,"1, 3",1,1.0,N,N,N,1,"Smartphone, Featurephone, Laptop",2,"1, 5, 6","1, 3, 4","1, 2, 4",Y,"Featurephone, Laptop","1, 3",N,"1, 2"
77,Dhaka,30-39,Man,Masters,Job,3-4,Smartphone,<4 yr,3,1,1.0,N,N,N,1,Smartphone,1,"1, 3, 5","3, 4, 7","4, 5, 6",NC,Nothing,,,"1, 2"
78,Dhaka,20-29,Man,Bachelors,Student,4-6,Featurephone,<6 mn,1,1,1.0,N,N,N,1,Featurephone,3,6,"3, 4, 7","4, 5, 6",NC,Nothing,4,,
79,Dhaka,30-39,Man,Masters,Job,8-10,Desktop,<1 yr,"1, 3","1, 3",5.0,N,N,Y,"1, 4","Smartphone, Featurephone, Desktop, Laptop, Tablet",3,6,1,"4, 6",Y,Nothing,"1, 4",N,"1, 2"
80,Dhaka,1-19,Man,SSC,Student,3-4,Smartphone,<2 yr,"2, 3",7,4.0,N,Y,N,1,"Smartphone, Laptop",1,"5, 6","3, 4, 7",,NC,Nothing,"1, 4, 5",N,"1, 2"
81,Dhaka,30-39,Man,Masters,Job,1-2,Smartphone,<1 yr,1,1,1.0,N,N,N,1,"Smartphone, Featurephone, Desktop, Laptop",2,"4, 7",1,"1, 2, 4, 5, 6",NC,Nothing,1,,"1, 2, 5"
82,Dhaka,30-39,Man,Masters,Job,12-,Laptop,<2 yr,2,3,5.0,N,Y,N,"1, 4","Smartphone, Laptop",3,"1, 3, 4, 6","3, 4, 7","2, 3, 6",Y,Nothing,"1, 4",N,"1, 2"
83,Dhaka,20-29,Woman,High School,Student,1-2,Tablet,>4 yr,3,1,5.0,Y,N,N,1,Laptop,2,7,3,3,NC,Nothing,3,,
84,Dhaka,1-19,Woman,High School,Student,4-6,Desktop,<2 yr,8,1,2.0,N,Y,Y,"1, 4","Smartphone, Desktop, Laptop","2, 3","1, 5, 6","4, 7","3, 4, 7",Y,Nothing,4,N,"1, 2, 3"
85,Dhaka,20-29,Man,High School,Student,4-6,Tablet,<2 yr,6,1,1.0,Y,Y,Y,5,"Smartphone, Desktop, Tablet",2,5,1,1,NC,Smartphone,3,Y,1
86,Dhaka,30-39,Man,Bachelors,Doctor,6-8,Tablet,<4 yr,6,7,4.0,N,N,Y,"1, 4","Smartphone, Laptop, Tablet",2,7,2,,NC,Nothing,1,,2
87,Dhaka,30-39,Man,Masters,Business,4-6,Desktop,<1 yr,3,1,1.0,Y,N,N,1,Desktop,1,4,1,4,NC,Featurephone,1,,
88,Dhaka,30-39,Man,Bachelors,Technical Works,4-6,Smartphone,<4 yr,"2, 5, 6",1,1.0,N,N,N,"1, 5","Smartphone, Desktop, Laptop",3,"1, 3, 5, 7","3, 4, 7","1, 4, 6",NC,Desktop,"1, 3",,"1, 2, 3"
89,Chittagong,20-29,Man,High School,Student,6-8,Smartphone,<6 mn,3,1,2.0,Y,Y,Y,"1, 4","Smartphone, Desktop, Laptop","2, 3","1, 3, 5, 7","1, 3, 4, 6","1, 2, 4, 5, 6",Y,Nothing,"1, 2, 3, 4",N,"1, 2, 3, 4"
90,Dhaka,20-29,Man,Bachelors,Student,4-6,Desktop,<1 mn,1,1,5.0,Y,Y,Y,4,"Smartphone, Tablet",3,"1, 2, 3, 5","3, 4, 6, 7","2, 3, 4, 5, 6, 7",NC,Nothing,3,N,"3, 4, 5"
91,Chittagong,20-29,Man,Bachelors,Student,4-6,Smartphone,<6 mn,3,1,1.0,N,N,N,"1, 4",Laptop,"2, 3",1,7,"4, 5, 6",NC,Nothing,3,N,"2, 3"
92,Dhaka,30-39,Man,Bachelors,Job,12-,Smartphone,<1 yr,3,1,5.0,Y,N,Y,"1, 4","Smartphone, Tablet",3,"1, 6","1, 2, 4, 7","4, 6, 7",NC,Nothing,"1, 2",Y,"1, 2, 3, 5"
93,Dhaka,30-39,Man,Bachelors,Job,12-,Smartphone,<1 yr,3,1,5.0,Y,N,Y,"1, 4","Smartphone, Tablet",3,"1, 6","1, 2, 4, 7","4, 6, 7",NC,Nothing,"1, 2",Y,"1, 2, 3, 5"
94,Rajshahi,20-29,Man,Bachelors,Student,3-4,Smartphone,<1 yr,6,1,4.0,N,N,N,1,"Smartphone, Laptop",1,5,"4, 7","4, 6",NC,Nothing,"1, 2",,2
95,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,"1, 2, 3, 5, 6",4,2.0,Y,Y,Y,1,"Smartphone, Featurephone",3,"5, 6, 7","3, 4, 7","2, 4",NC,"Smartphone, Featurephone","1, 2, 3",,"1, 2, 4"
96,Dhaka,20-29,Man,High School,Student,10-12,Smartphone,<6 mn,"3, 6",1,4.0,Y,Y,Y,"1, 3","Smartphone, Featurephone, Desktop, Laptop, Tablet",3,"2, 4, 7","2, 5, 7","1, 2, 3, 4, 5, 6, 7",NC,"Desktop, Printer","3, 4",N,"1, 2"
97,Barisal,30-39,Man,Masters,Unemployed,3-4,Featurephone,<2 yr,3,1,1.0,Y,Y,Y,1,"Smartphone, Desktop",1,3,"3, 7",,Y,Nothing,,N,1
98,Dhaka,20-29,Woman,High School,Student,1-2,Smartphone,<6 mn,3,1,2.0,Y,Y,Y,1,"Smartphone, Featurephone, Laptop",2,"1, 3, 5, 6","2, 3","2, 4",NC,Nothing,"1, 2, 3, 6",N,"1, 2, 3"
99,Dhaka,20-29,Woman,Masters,Student,4-6,Laptop,<6 mn,"3, 6",1,1.0,Y,Y,Y,"1, 4",Smartphone,1,"1, 4, 5, 7","2, 5, 7","2, 3, 5, 7",NC,Smartphone,5,N,2
